pid,rank,date
wxpUtIv4,79,2017-12-02
IlbqfHKT,80,2017-12-02
8eo2Gj0-,81,2017-12-02
AHILcvSG,82,2017-12-02
XwHzgEp_,83,2017-12-02
4NRpZd1v,84,2017-12-02
S9Mkb_Js,85,2017-12-02
3aG_0iuM,86,2017-12-02
ryviUJgy,87,2017-12-02
UG7x7CeZ,88,2017-12-02
C2rN5M5Y,89,2017-12-02
5CdZTkx0,90,2017-12-02
ekVdP6hG,91,2017-12-02
Ra9F5rTD,92,2017-12-02
68Mzp1yU,93,2017-12-02
gMTqgK-l,94,2017-12-02
LvJNKAbb,95,2017-12-02
_AaHhmpY,96,2017-12-02
yshGBwsU,97,2017-12-02
9xnr1G5u,98,2017-12-02
7h31M1Uv,99,2017-12-02
0-5hUtBO,100,2017-12-02
hhOmGIls,1,2017-12-03
J54I24Qs,2,2017-12-03
fMag1Tga,3,2017-12-03
fBMSljcP,4,2017-12-03
tgmmUOx0,5,2017-12-03
eWDM9xAe,6,2017-12-03
t4_PwAYp,7,2017-12-03
icJam_5l,8,2017-12-03
Wa2ECpqQ,9,2017-12-03
1uVZjWMu,10,2017-12-03
Tiouijwe,11,2017-12-03
TFcwEw7y,12,2017-12-03
ewzharPB,13,2017-12-03
MVpoxopZ,14,2017-12-03
Q5dE-6Cm,15,2017-12-03
4RmwbCw4,16,2017-12-03
5TFTWB4V,17,2017-12-03
V3KN74T9,18,2017-12-03
vXaSvEK6,19,2017-12-03
vM6SpcAX,20,2017-12-03
D3SJuzFQ,21,2017-12-03
GoPTQ8dT,22,2017-12-03
p7E2RtgF,23,2017-12-03
wpe4NbSF,24,2017-12-03
3B7bhdh3,25,2017-12-03
H0IRhlNT,26,2017-12-03
QUNHFVVV,27,2017-12-03
X4q99UL7,28,2017-12-03
2zXpXjMp,29,2017-12-03
t2UGgCDf,30,2017-12-03
BKaUtdGp,31,2017-12-03
xoZWy8yV,32,2017-12-03
vOTeHcnB,33,2017-12-03
4Qq9sGzS,34,2017-12-03
j8hvJDPs,35,2017-12-03
f-x9bxwm,36,2017-12-03
9xnr1G5u,37,2017-12-03
9yCMCTNq,38,2017-12-03
N1DTyWDC,39,2017-12-03
nyi-m80-,40,2017-12-03
uksx0FeR,41,2017-12-03
JQNo0TMz,42,2017-12-03
og3XtU1p,43,2017-12-03
wlyGmMNW,44,2017-12-03
1xqHQw3J,45,2017-12-03
hdq91--u,46,2017-12-03
gD-ZZmb-,47,2017-12-03
3hTPwXPr,48,2017-12-03
etvVmxnc,49,2017-12-03
xxsFHiKl,50,2017-12-03
Qbz7DnQ_,51,2017-12-03
